EventTime,EventType,Event
1.6124832000005937e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2030)
1.6124832000005937e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2031)
1.612483200000598e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1668)
1.612483200000598e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1669)
1.6124832000006075e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2922)
1.6124832000006075e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2923)
1.6124832000006118e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3198)
1.6124832000006118e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3199)
1.612483200000613e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2210)
1.612483200000613e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2211)
1.612483200000614e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2294)
1.612483200000614e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2295)
1.6124832000006157e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1766)
1.6124832000006157e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1767)
1.6124832000006162e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1520)
1.6124832000006162e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1521)
1.6124832000006295e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2028)
1.6124832000006295e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2029)
1.6124832000006354e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2048)
1.6124832000006354e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2049)
1.6124832000006367e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2716)
1.6124832000006367e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2717)
1.61248320000064e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2478)
1.61248320000064e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2479)
1.6124832000006418e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1788)
1.6124832000006418e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1789)
1.612483200000645e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1736)
1.612483200000645e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1737)
1.6124832000006456e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1414)
1.6124832000006456e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1415)
1.6124832000006474e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1692)
1.6124832000006474e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1693)
1.6124832000006495e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1890)
1.6124832000006495e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1891)
1.6124832000006508e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1844)
1.6124832000006508e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1845)
1.6124832000006528e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3030)
1.6124832000006528e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3031)
1.6124832000006556e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2838)
1.6124832000006556e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2839)
1.6124832000006776e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1568)
1.6124832000006776e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1569)
1.6124832000006925e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2120)
1.6124832000006925e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2121)
1.6124832000006968e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3336)
1.6124832000006968e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3337)
1.6124832000006976e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2596)
1.6124832000006976e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2597)
1.6124832000007025e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2568)
1.6124832000007025e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2569)
1.612483200000712e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1340)
1.612483200000712e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1341)
1.6124832000007176e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=2162)
1.6124832000007176e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=2163)
1.612483200000719e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1342)
1.612483200000719e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1343)
1.612483200000724e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1678)
1.612483200000724e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1679)
1.6124832000007314e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=3284)
1.6124832000007314e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=3285)
1.6124832000007532e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1484)
1.6124832000007532e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1485)
1.6124832000007654e+18,MarketClosePriceRequestMsg,MarketClosePriceRequestMsg(message_id=1460)
1.6124832000007654e+18,MarketHoursRequestMsg,MarketHoursRequestMsg(message_id=1461)
